2021-02-24 14:47:47,911 - main - INFO - {'constellation_id': 1, 'constellation_name': 'S1', 'num_sat': 2, 'num_planes': 1, 'rx_constellation': '1111', 'elevation_mask': [], 'el_mask_max': [], 'uere_list': [], 'tle_file_name': None, 'obs_inci_angle_start': None, 'obs_inci_angle_stop': None, 'obs_swath_start': 325000.0, 'obs_swath_stop': 785000.0, 'frontal_area': None, 'mass': None}
2021-02-24 14:47:47,911 - main - INFO - {'constellation_id': 1, 'constellation_name': 'S1', 'sat_id': 1, 'plane': 1, 'name': '', 'rx_constellation': '1111', 'ltan': -1, 'elevation_mask': [], 'el_mask_max': [], 'uere_list': [], 'kepler': <segments.KeplerSet object at 0x7fa017fc4d30>, 'tle_line1': '', 'tle_line2': '', 'frontal_area': None, 'mass': None, 'satrec': None, 'pos_eci': array([0., 0., 0.]), 'vel_eci': array([0., 0., 0.]), 'pos_ecf': array([0., 0., 0.]), 'vel_ecf': array([0., 0., 0.]), 'lla': array([0., 0., 0.]), 'idx_stat_in_view': [], 'idx_sat_in_view': [], 'metric': [], 'obs_inci_angle_start': None, 'obs_inci_angle_stop': None, 'obs_swath_start': None, 'obs_swath_stop': None, 'p1': array([0., 0., 0.]), 'p2': array([0., 0., 0.]), 'p3': array([0., 0., 0.]), 'p4': array([0., 0., 0.])}
2021-02-24 14:47:47,913 - main - INFO - {'constellation_id': 1, 'constellation_name': 'S1', 'sat_id': 2, 'plane': 1, 'name': '', 'rx_constellation': '1111', 'ltan': -1, 'elevation_mask': [], 'el_mask_max': [], 'uere_list': [], 'kepler': <segments.KeplerSet object at 0x7fa017fc4ac8>, 'tle_line1': '', 'tle_line2': '', 'frontal_area': None, 'mass': None, 'satrec': None, 'pos_eci': array([0., 0., 0.]), 'vel_eci': array([0., 0., 0.]), 'pos_ecf': array([0., 0., 0.]), 'vel_ecf': array([0., 0., 0.]), 'lla': array([0., 0., 0.]), 'idx_stat_in_view': [], 'idx_sat_in_view': [], 'metric': [], 'obs_inci_angle_start': None, 'obs_inci_angle_stop': None, 'obs_swath_start': None, 'obs_swath_stop': None, 'p1': array([0., 0., 0.]), 'p2': array([0., 0., 0.]), 'p3': array([0., 0., 0.]), 'p4': array([0., 0., 0.])}
2021-02-24 14:47:48,091 - main - INFO - {'constellation_id': 1, 'station_id': 1, 'station_name': 'ALB', 'rx_constellation': '11', 'elevation_mask': [0.08726646259971647], 'el_mask_max': [1.5707963267948966], 'pos_eci': array([0., 0., 0.]), 'vel_eci': array([0., 0., 0.]), 'pos_ecf': array([3420934.91645718,  597048.72006104, 5331957.08868638]), 'vel_ecf': array([0., 0., 0.]), 'lla': array([0.996583 , 0.1727876, 0.       ]), 'idx_sat_in_view': []}
2021-02-24 14:47:50,438 - main - INFO - {'type': 'Grid', 'user_id': 29560, 'rx_constellation': '11', 'name': '', 'elevation_mask': [0.0], 'el_mask_max': [1.5707963267948966], 'pos_eci': array([0., 0., 0.]), 'vel_eci': array([0., 0., 0.]), 'pos_ecf': array([-3.91862092e-10,  4.79892657e-26,  6.35675231e+06]), 'vel_ecf': array([0., 0., 0.]), 'norm_ecf': 0, 'lla': array([1.57079633, 3.14159265, 0.        ]), 'num_lat': 41, 'num_lon': 721, 'idx_sat_in_view': [], 'tle_file_name': '', 'kepler': <segments.KeplerSet object at 0x7fa017fbcc18>, 'metric': [], 'UserName': 'Grid'}
2021-02-24 14:47:50,449 - main - INFO - Loaded simulation, start MJD: 58484.0, stop MJD: 58490.0, size time steps in sec: 120.0
2021-02-24 14:47:50,449 - main - INFO - Loaded 2 number of Station to Spacecraft links
2021-02-24 14:47:54,266 - main - INFO - Loaded 59122 number of User to Spacecraft links
2021-02-24 14:47:54,268 - main - INFO - Loaded 4 number of Spacecraft to Spacecraft links
2021-02-24 14:47:54,330 - main - INFO - Finished reading configuration file
2021-02-24 14:47:55,829 - main - INFO - Simulation time: 2019-01-01 02:40:00, time step: 80
2021-02-24 14:47:55,835 - main - INFO - Simulation time: 2019-01-01 02:42:00, time step: 81
2021-02-24 14:47:55,842 - main - INFO - Simulation time: 2019-01-01 02:44:00, time step: 82
2021-02-24 14:47:55,848 - main - INFO - Simulation time: 2019-01-01 02:46:00, time step: 83
2021-02-24 14:47:55,855 - main - INFO - Simulation time: 2019-01-01 02:48:00, time step: 84
2021-02-24 14:47:55,861 - main - INFO - Simulation time: 2019-01-01 02:50:00, time step: 85
2021-02-24 14:47:55,868 - main - INFO - Simulation time: 2019-01-01 02:52:00, time step: 86
2021-02-24 14:47:55,874 - main - INFO - Simulation time: 2019-01-01 02:54:00, time step: 87
2021-02-24 14:47:55,881 - main - INFO - Simulation time: 2019-01-01 02:56:00, time step: 88
2021-02-24 14:47:55,888 - main - INFO - Simulation time: 2019-01-01 02:58:00, time step: 89
2021-02-24 14:47:55,895 - main - INFO - Simulation time: 2019-01-01 03:00:00, time step: 90
2021-02-24 14:47:55,902 - main - INFO - Simulation time: 2019-01-01 03:02:00, time step: 91
2021-02-24 14:47:55,909 - main - INFO - Simulation time: 2019-01-01 03:04:00, time step: 92
2021-02-24 14:47:55,916 - main - INFO - Simulation time: 2019-01-01 03:06:00, time step: 93
2021-02-24 14:47:55,924 - main - INFO - Simulation time: 2019-01-01 03:08:00, time step: 94
2021-02-24 14:47:55,931 - main - INFO - Simulation time: 2019-01-01 03:10:00, time step: 95
2021-02-24 14:47:55,938 - main - INFO - Simulation time: 2019-01-01 03:12:00, time step: 96
2021-02-24 14:47:55,944 - main - INFO - Simulation time: 2019-01-01 03:14:00, time step: 97
2021-02-24 14:47:55,951 - main - INFO - Simulation time: 2019-01-01 03:16:00, time step: 98
2021-02-24 14:47:55,957 - main - INFO - Simulation time: 2019-01-01 03:18:00, time step: 99
2021-02-24 14:47:55,964 - main - INFO - Simulation time: 2019-01-01 03:20:00, time step: 100
2021-02-24 14:47:55,971 - main - INFO - Simulation time: 2019-01-01 03:22:00, time step: 101
2021-02-24 14:47:55,977 - main - INFO - Simulation time: 2019-01-01 03:24:00, time step: 102
2021-02-24 14:47:55,984 - main - INFO - Simulation time: 2019-01-01 03:26:00, time step: 103
2021-02-24 14:47:55,991 - main - INFO - Simulation time: 2019-01-01 03:28:00, time step: 104
2021-02-24 14:47:55,997 - main - INFO - Simulation time: 2019-01-01 03:30:00, time step: 105
2021-02-24 14:47:56,004 - main - INFO - Simulation time: 2019-01-01 03:32:00, time step: 106
2021-02-24 14:47:56,011 - main - INFO - Simulation time: 2019-01-01 03:34:00, time step: 107
2021-02-24 14:47:56,017 - main - INFO - Simulation time: 2019-01-01 03:36:00, time step: 108
2021-02-24 14:47:56,024 - main - INFO - Simulation time: 2019-01-01 03:38:00, time step: 109
2021-02-24 14:47:56,031 - main - INFO - Simulation time: 2019-01-01 03:40:00, time step: 110
2021-02-24 14:47:56,037 - main - INFO - Simulation time: 2019-01-01 03:42:00, time step: 111
2021-02-24 14:47:56,044 - main - INFO - Simulation time: 2019-01-01 03:44:00, time step: 112
2021-02-24 14:47:56,050 - main - INFO - Simulation time: 2019-01-01 03:46:00, time step: 113
2021-02-24 14:47:56,057 - main - INFO - Simulation time: 2019-01-01 03:48:00, time step: 114
2021-02-24 14:47:56,065 - main - INFO - Simulation time: 2019-01-01 03:50:00, time step: 115
2021-02-24 14:47:56,072 - main - INFO - Simulation time: 2019-01-01 03:52:00, time step: 116
2021-02-24 14:47:56,079 - main - INFO - Simulation time: 2019-01-01 03:54:00, time step: 117
2021-02-24 14:47:56,087 - main - INFO - Simulation time: 2019-01-01 03:56:00, time step: 118
2021-02-24 14:47:56,094 - main - INFO - Simulation time: 2019-01-01 03:58:00, time step: 119
